STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 | Java Service Wrapper Standard Edition 64-bit 3.5.24
STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2014/12/04 10:15:31.249 | 
STATUS | wrapper  | main    | 2014/12/04 10:15:31.553 | Launching a JVM...
INFO   | jvm 1    | main    | 2014/12/04 10:15:32.154 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2014/12/04 10:15:34.566 | Dec 04, 2014 10:15:34 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/04 10:15:34.566 | INFO: Initializing ProtocolHandler ["http-bio-9001"]
INFO   | jvm 1    | main    | 2014/12/04 10:15:34.566 | Dec 04, 2014 10:15:34 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/04 10:15:34.566 | INFO: Initializing ProtocolHandler ["http-bio-9002"]
INFO   | jvm 1    | main    | 2014/12/04 10:15:36.568 | Dec 04, 2014 10:15:36 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/04 10:15:36.568 | INFO: Initializing ProtocolHandler ["ajp-bio-8009"]
INFO   | jvm 1    | main    | 2014/12/04 10:15:36.568 | Dec 04, 2014 10:15:36 AM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2014/12/04 10:15:36.568 | INFO: Initialization processed in 4071 ms
INFO   | jvm 1    | main    | 2014/12/04 10:15:37.068 | Dec 04, 2014 10:15:37 AM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2014/12/04 10:15:37.068 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2014/12/04 10:15:37.068 | Dec 04, 2014 10:15:37 AM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2014/12/04 10:15:37.068 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2014/12/04 10:15:47.588 | [0;32mINFO  [localhost-startStop-1] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2014/12/04 10:15:47.788 | [m[0;32mINFO  [localhost-startStop-1] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2014/12/04 10:15:47.788 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2014/12/04 10:15:47.788 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2014/12/04 10:15:47.788 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@1a3b1e79]
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.289 | [m
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] OS:          Linux 3.13.0-32-generic, amd64
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver]              SA - jdbc:hsqldb:file:/home/alexander/Work/trail/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.cache_rows=100000;hsqldb.cache_size=20000;hsqldb.write_delay_millis=1000;hsqldb.inc_backup=true;hsqldb.defrag_limit=2;hsqldb.nio_data_file=false
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Platform:    5.3.0.2
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2014/12/04 10:15:48.489 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver]              Java(TM) SE Runtime Environment, 1.7.0_65-b17
