STATUS | wrapper  | main    | 2014/12/05 10:43:26.672 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2014/12/05 10:43:26.673 | Java Service Wrapper Standard Edition 64-bit 3.5.24
STATUS | wrapper  | main    | 2014/12/05 10:43:26.673 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2014/12/05 10:43:26.673 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2014/12/05 10:43:26.673 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2014/12/05 10:43:26.673 | 
STATUS | wrapper  | main    | 2014/12/05 10:43:27.069 | Launching a JVM...
INFO   | jvm 1    | main    | 2014/12/05 10:43:28.571 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2014/12/05 10:43:31.172 | Dec 05, 2014 10:43:31 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/05 10:43:31.172 | INFO: Initializing ProtocolHandler ["http-bio-9001"]
INFO   | jvm 1    | main    | 2014/12/05 10:43:31.172 | Dec 05, 2014 10:43:31 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/05 10:43:31.172 | INFO: Initializing ProtocolHandler ["http-bio-9002"]
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.075 | Dec 05, 2014 10:43:31 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.075 | INFO: Initializing ProtocolHandler ["ajp-bio-8009"]
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.075 | Dec 05, 2014 10:43:32 AM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.075 | INFO: Initialization processed in 2635 ms
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.175 | Dec 05, 2014 10:43:32 AM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.175 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.175 | Dec 05, 2014 10:43:32 AM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2014/12/05 10:43:32.175 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2014/12/05 10:43:56.396 | [0;32mINFO  [localhost-startStop-1] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2014/12/05 10:43:56.897 | [m
INFO   | jvm 1    | main    | 2014/12/05 10:43:57.398 | [0;32mINFO  [localhost-startStop-1] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2014/12/05 10:43:57.398 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2014/12/05 10:43:57.398 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2014/12/05 10:43:57.398 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@6af06702]
INFO   | jvm 1    | main    | 2014/12/05 10:43:57.898 | [m
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] OS:          Linux 3.13.0-32-generic, amd64
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver]              SA - jdbc:hsqldb:file:/home/alexander/Work/trail/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.cache_rows=100000;hsqldb.cache_size=20000;hsqldb.write_delay_millis=1000;hsqldb.inc_backup=true;hsqldb.defrag_limit=2;hsqldb.nio_data_file=false
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Platform:    5.3.0.2
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver]              Java(TM) SE Runtime Environment, 1.7.0_65-b17
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver]              /opt/jdk1.7.0_65/jre
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] VM Locale:   language=en,country=US,region=null
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] ---  w: got web module, h: got HMC module ) 
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2014/12/05 10:43:59.400 | [m[0;32mINFO  [localhost-startStop-1] [hybrisserver] core 5.3.0.2 [p*cib]
